tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
6.600845341,8.255091684,8.13412711,4.439502303,4.338452183,-1.075825066,-1.368757551,-1.885293753,0.166416077,0.610676302,0.794066385,0.836081421,0.063720385,unstable
0.672406497,0.767250167,5.557320215,3.745670487,,-1.058568169,-1.178950686,-0.688744618,0.739581597,0.77250164,0.419885816,0.840958997,-0.047253871,stable
4.774847376,8.886962166,1.753137897,9.834987104,5.23296102,-1.962824647,-1.707113958,-1.567117477,0.849547824,0.598998431,0.302800788,0.127460284,0.01412768,unstable
3.385400391,8.481286719,8.662504844,2.248600603,3.349981185,-1.188818237,,-1.105990085,0.964001527,0.6837279,0.443627885,0.689982975,0.024979753,unstable
7.574846641,32.6928563,6.202064051,6.531808781,3.222619225,-1.430451891,-0.591138276,-1.195413633,0.219404269,0.680076589,,0.726814472,0.050475323,unstable
7.671249655,7.94238115,8.609260739,9.768160612,4.367641761,,-1.51643842,-0.9531431,0.523541164,0.780733215,0.565249546,,0.072529552,unstable
3.523451922,4.141874375,,5.827320397,3.584751684,-1.781651464,-1.3300698,-0.507762635,0.915532225,0.055523657,0.375350139,0.072550788,-0.010526634,stable
1.759514823,8.745448046,9.465925084,9.032222703,3.700558568,-1.988295853,-0.552849384,-1.14958022,0.598573655,0.338259218,0.297170267,0.271580625,-0.013095635,stable
9.887702422,8.635426271,4.682477015,1.947293127,3.140563151,-0.74841607,-0.690803755,-1.71208783,0.397103637,,0.342864424,0.469947776,-0.003382019,stable
1.555109797,1.488975499,0.883986302,1.7835624,4.487532948,-1.784294707,-1.92269564,,0.818732366,0.870466477,0.341414678,0.836266714,-0.018206818,stable
1.396596313,1.041602511,9.898008976,8.083680593,3.585984693,-1.266502775,-1.636931489,-0.692219045,,0.412593873,0.903536755,0.733591223,0.021947378,unstable
,6.272166492,7.404143404,7.522009907,3.515435462,-0.761818923,-1.315187815,-1.424551043,0.760195757,0.263523875,0.456626346,0.920682244,0.072712504,unstable
3.971469846,,6.355000251,2.740530603,3.345911051,-1.726110419,-0.680127436,-0.958653627,0.732601606,0.984334979,0.297010119,0.125187903,0.047279648,unstable
2.648939536,3.33855503,7.64878501,5.137205032,3.208733953,-1.590725081,3.082861966,-0.825809507,0.243652127,1.001309027,0.516326808,0.212173493,0.00978335,unstable
,1.171215786,8.626199347,,4.091439256,-1.007827854,-1.579019873,-1.522574966,0.499459405,0.481537124,0.990850931,0.490591777,0.016962778,unstable
7.183027887,6.429408401,2.824199902,7.169882245,2.483132325,3.083719648,-1.260293044,-0.54556009,0.889527393,0.168897478,0.371364208,0.54335611,0.042880009,unstable
,9.24705894,8.319437557,1.928014284,4.191261414,-1.478819769,-1.478937839,,0.115461325,0.426628018,0.514257125,0.219142732,-0.007964738,stable
4.377899651,4.143921717,0.916297342,3.777849803,2.426730562,-0.672763962,-1.134130846,-0.618461308,0.544728988,0.534159919,0.137614887,0.95662459,0.036906307,unstable
6.508480504,5.880525262,5.492750312,2.285045117,,-1.999063157,-1.66983129,-1.353612194,0.675753417,,0.775118064,0.306946502,0.06879453,unstable
8.405923441,4.065189304,1.050927022,7.610437728,3.970939983,-1.664971561,-1.370129604,-0.922302433,,0.31659345,0.085836675,0.070098592,-0.006606754,stable
6.553568011,6.188850782,8.274154738,3.845047591,5.148012707,-1.600041229,-1.796173075,-1.753341596,,0.612179424,0.420364337,,0.014776492,unstable
1.276935099,6.192937613,9.045593994,6.990508849,4.915998259,-1.862926401,-1.621880395,,0.933234144,0.640802278,0.688364091,0.201852911,0.008540852,unstable
0.514152026,4.091058853,2.179927026,6.323037032,2.787503727,-1.764540459,-0.505208628,-0.523300545,0.458644632,0.808469304,,0.694284584,0.004859738,unstable
,9.793514853,7.482555687,8.286839138,4.572403828,-1.412594211,-1.69291331,-1.469443167,0.572679058,0.840116224,0.945288793,,0.07035186,unstable
9.57334136,3.685899012,4.634949585,5.16056417,3.566809383,-0.771332779,-1.189130481,-1.612316455,0.988495586,,0.473240301,0.086697763,0.032833834,unstable
4.248235762,3.221545609,3.412171003,2.339471651,4.995574173,-1.628982496,-1.680117295,-1.687069839,0.300977413,0.874883468,0.939457097,0.946342008,0.079819785,unstable
8.144950161,0.829427819,7.233362574,6.26378902,4.394950963,-1.468970641,-1.773037849,-1.151169049,0.640951219,0.760301704,0.194051437,0.674382262,0.009443451,unstable
8.773680047,1.004917492,2.435375676,9.68122275,3.738187097,-0.672031462,,-1.309402267,0.440916906,0.569058694,0.830630238,0.216753134,-0.017235143,stable
-22.08240769,2.620340552,9.018298627,5.882052573,2.451394893,-1.018177724,-0.846429474,-0.583507258,0.810595109,0.543327861,,0.251724473,0.046576729,unstable
9.543217681,7.54543485,8.602057093,8.996512069,3.441447975,-1.297388127,-1.033711559,-1.121687703,0.654017519,0.484421416,0.442469135,0.152089787,0.047403386,unstable
9.670161225,1.691353314,8.119964706,5.421372936,2.087060543,-0.509150773,-0.580501834,-0.984240737,0.657952116,0.163584985,0.400891964,0.133341055,0.013109667,unstable
5.026415975,8.957756099,8.422014319,8.671327763,3.85224648,-1.717398096,-0.946291824,-1.185944437,0.769844905,0.268682289,0.916470751,0.516351512,0.068861883,unstable
8.847005992,5.52509079,1.988829061,3.216149345,3.994066227,-1.989276816,,-0.830181105,0.694735146,0.502089572,0.975988857,0.965373344,0.023314366,unstable
5.916476148,3.727398889,1.860966511,0.79585565,5.227296032,-1.962401819,-1.826279417,,0.293146657,0.456014211,0.549402806,0.827719294,-0.046126178,stable
2.117561484,6.149097041,3.147420105,2.902839274,1.862946348,-0.678328963,-0.657351354,-0.537500644,0.616275596,0.155679248,0.473650032,0.560942261,-0.031538052,stable
9.452921665,9.387778417,7.807587217,2.083338095,3.190872733,-0.569720415,-1.677400049,-0.945907918,0.618735318,0.56029997,0.06592379,0.264608201,0.020264351,unstable
5.369665285,,4.463001789,3.41406222,3.335166142,-0.854845127,-1.966316441,-0.51367016,0.362399786,0.831308833,0.580777573,0.816386092,0.072664471,unstable
6.973169115,8.846952812,9.408744044,6.172428148,4.640748013,-1.586446814,-1.225979681,-1.830530528,0.739899792,0.769101021,0.71900059,0.229416058,0.073377272,unstable
5.819194299,9.551748745,2.618614923,,3.546425755,-0.660918739,,-1.824154567,0.118220839,0.592321171,0.34710386,0.711252406,-0.010619768,stable
6.574487696,3.167170613,8.406759971,1.517998358,3.37154228,-1.450662179,-1.148403977,-0.77001284,0.979892657,0.758643706,0.304246853,0.840473306,0.024972265,unstable
3.982492906,4.923561503,3.511245422,1.955933376,1.696261885,-0.601203804,-0.504885036,-0.580061843,0.096788121,0.302582921,0.700450573,0.209686675,-0.043898579,stable
6.5582117,8.589028404,8.974562665,5.315079881,4.782395571,-1.614209018,-1.868691278,-1.315236039,,0.905465626,,0.150432878,0.06463406,unstable
1.802383863,3.139543176,9.413708852,3.23075805,3.33093475,-1.320474742,-1.27425302,-0.724686462,,0.430789386,0.432030056,0.91599687,-0.04187977,stable
8.69333925,3.827981445,5.667220316,1.385989817,4.753040111,-1.587007915,-1.971896928,-1.195366006,0.980716128,0.681454342,0.162000326,0.96699721,0.004075184,unstable
6.350174717,8.049481592,4.872303533,6.068129575,2.850227916,-1.28682494,-0.828661131,-0.7486488,0.815505848,0.227414892,0.568684406,0.714588593,0.068482769,unstable
5.997162973,4.387560272,2.280500958,3.470688317,4.920392851,-1.945615467,-1.522859583,-1.454639917,0.792187807,0.387069928,0.549733735,0.883034944,0.052516244,unstable
2.20314188,,2.15707705,1.328937236,3.642331449,-1.14758171,-1.295555404,-1.199318934,0.961043761,0.091454002,0.764794698,0.145642318,-0.01540149,stable
8.076704481,6.731249496,7.761142185,3.227672216,5.002680437,-1.878164842,-1.235431012,-1.889491304,,0.158434698,0.971570854,0.680163834,0.035131089,unstable
9.049617849,3.988380361,1.994975274,1.033266921,3.049229199,-1.857238073,-0.619105945,-0.580133361,0.676745264,0.812550288,0.348121277,0.96023771,-0.018984184,stable
5.839466813,5.968143399,3.385719097,9.312177141,4.708841657,-1.608014302,-1.119894995,-1.952066354,0.457604405,0.480810382,0.903131651,0.705809735,0.051911065,unstable
2.446744663,0.756068196,9.186529357,1.994416552,2.31742324,-0.848355399,-0.755649259,-0.713518959,0.944442349,0.081338264,,0.754905599,-0.014261586,stable
9.205947027,5.706333306,3.445207955,,3.458042976,-0.998117981,-1.10595247,-1.348311937,0.28284203,0.451273338,0.925519518,0.842563392,0.057008952,unstable
0.533272262,4.512889614,9.492646989,9.965736439,11.29116591,-1.816909636,-1.314687454,-1.815222995,0.614698769,0.914137109,0.846518453,0.241983123,0.012277057,unstable
,,7.983986904,3.925786117,4.859714037,-0.971761655,-2.002401695,-1.895644939,0.762154643,0.350031484,0.915475371,0.121088891,0.00928298,unstable
0.851524729,8.159093124,3.379929969,,2.95660688,-0.773453168,-1.382073062,-0.789511765,0.337433083,0.244286344,0.350813025,,-0.056319786,stable
8.349968746,8.829095302,3.792678098,2.784662582,4.444929369,-1.682107606,-1.259468343,-1.501870558,0.181876001,0.667220796,0.153154033,0.231873947,-0.003383827,stable
9.965138643,9.591422129,9.05000226,2.54228817,3.463793988,-1.600310059,-1.076198319,-0.781925056,,0.377096604,0.147362156,0.654335785,0.020839246,unstable
2.220028616,6.914986924,9.440421447,7.025400256,4.082981782,-1.995859916,-0.80465263,-1.304193154,0.648569557,0.775075299,0.200011951,0.22535887,0.0098125,unstable
1.990013309,3.691781833,9.517797696,4.556983245,2.892280805,-0.679616822,-1.307694459,-0.9028406,0.165472446,0.535418426,0.765921505,0.940378498,0.032019596,unstable
